Slug,Prompt
mateo-salinas,"A high-quality, professional 3D video game character render of a 40-year-old Argentinian Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
alma-kovacs,"A high-quality, professional 3D video game character render of a 40-year-old Hungarian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
jaylen-moss,"A high-quality, professional 3D video game character render of a 40-year-old American Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sakura-ishikawa,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
adriana-perez,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
noah-kline,"A high-quality, professional 3D video game character render of a 40-year-old American White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
raquel-diaz,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tarek-nouri,"A high-quality, professional 3D video game character render of a 40-year-old Tunisian Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
yvette-lacroix,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
ilias-haddad,"A high-quality, professional 3D video game character render of a 40-year-old Moroccan Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
ziad-fahmy,"A high-quality, professional 3D video game character render of a 40-year-old Egyptian Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
katrin-schulz,"A high-quality, professional 3D video game character render of a 40-year-old German White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
benji-wu,"A high-quality, professional 3D video game character render of a 40-year-old Chinese Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
amara-sun,"A high-quality, professional 3D video game character render of a 40-year-old American Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
santiago-luna,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
farah-sayeed,"A high-quality, professional 3D video game character render of a 40-year-old Pakistani Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
anika-johansson,"A high-quality, professional 3D video game character render of a 40-year-old Swedish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
oscar-larsen,"A high-quality, professional 3D video game character render of a 40-year-old Danish White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
rhea-sato,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
yusuf-kaplan,"A high-quality, professional 3D video game character render of a 40-year-old Turkish Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
nadia-kim,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
serena-bell,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
emre-demir,"A high-quality, professional 3D video game character render of a 40-year-old Turkish Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
laila-moreno-actor,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
gabriela-rios,"A high-quality, professional 3D video game character render of a 40-year-old Brazilian Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sajid-khan-actor,"A high-quality, professional 3D video game character render of a 40-year-old Pakistani Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
katya-ivanova,"A high-quality, professional 3D video game character render of a 40-year-old Russian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
isaac-cho,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
dalia-klein-actor,"A high-quality, professional 3D video game character render of a 40-year-old German White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
marcus-alexander,"A high-quality, professional 3D video game character render of a 40-year-old American Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
yasuo-tan,"A high-quality, professional 3D video game character render of a 40-year-old Singaporean Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
selene-garcia,"A high-quality, professional 3D video game character render of a 40-year-old Colombian Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
eva-sandstrom,"A high-quality, professional 3D video game character render of a 40-year-old Swedish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
leonid-markov,"A high-quality, professional 3D video game character render of a 40-year-old Russian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
nadine-rossi,"A high-quality, professional 3D video game character render of a 40-year-old Italian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
julio-fuentes,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
samson-okafor,"A high-quality, professional 3D video game character render of a 40-year-old Nigerian Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
anya-novik,"A high-quality, professional 3D video game character render of a 40-year-old Ukrainian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
amina-darzi,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
nadav-cohen,"A high-quality, professional 3D video game character render of a 40-year-old Israeli Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
celeste-dupont,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hanae-suzuki,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
omar-boukari,"A high-quality, professional 3D video game character render of a 40-year-old Moroccan Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sienna-choi,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
bruno-salazar,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
helen-varga-dir,"A high-quality, professional 3D video game character render of a 40-year-old Hungarian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
kaito-hirano,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
marina-klein,"A high-quality, professional 3D video game character render of a 40-year-old German White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
pierre-duval,"A high-quality, professional 3D video game character render of a 40-year-old French White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
zoya-petrenko,"A high-quality, professional 3D video game character render of a 40-year-old Ukrainian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
rashid-alam,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
noah-ashcroft,"A high-quality, professional 3D video game character render of a 40-year-old British White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tess-morrow,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
han-ryu,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
greta-halvorsen,"A high-quality, professional 3D video game character render of a 40-year-old Norwegian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
marco-santori,"A high-quality, professional 3D video game character render of a 40-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
salim-haddad,"A high-quality, professional 3D video game character render of a 40-year-old Lebanese Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
anya-vokov,"A high-quality, professional 3D video game character render of a 40-year-old Russian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
carmen-ibanez,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
satoshi-kimura,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
lena-varga,"A high-quality, professional 3D video game character render of a 40-year-old Hungarian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
miles-harrington,"A high-quality, professional 3D video game character render of a 40-year-old American White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
roberto-costa,"A high-quality, professional 3D video game character render of a 40-year-old Brazilian Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
yasir-najjar,"A high-quality, professional 3D video game character render of a 40-year-old Jordanian Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
chandra-basu,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
amelie-caron,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
eirik-solheim,"A high-quality, professional 3D video game character render of a 40-year-old Norwegian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
matteo-galli,"A high-quality, professional 3D video game character render of a 40-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
yoon-seok-min,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
nadine-fischer,"A high-quality, professional 3D video game character render of a 40-year-old German White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
luis-moreno,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sara-al-fayed,"A high-quality, professional 3D video game character render of a 40-year-old Egyptian Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
timur-kasparov,"A high-quality, professional 3D video game character render of a 40-year-old Ukrainian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
orla-donovan,"A high-quality, professional 3D video game character render of a 40-year-old Irish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
david-hartwell,"A high-quality, professional 3D video game character render of a 40-year-old British White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sylvie-moreau,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hugo-lambert,"A high-quality, professional 3D video game character render of a 40-year-old Canadian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
maya-ghosh,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
jin-woo-seo,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
karim-benaissa,"A high-quality, professional 3D video game character render of a 40-year-old Moroccan Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
elena-sarkis,"A high-quality, professional 3D video game character render of a 40-year-old Lebanese Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tristan-cole,"A high-quality, professional 3D video game character render of a 40-year-old American White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
ines-fonseca,"A high-quality, professional 3D video game character render of a 40-year-old Portuguese White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
giulia-martelli,"A high-quality, professional 3D video game character render of a 40-year-old Italian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
